MODEL UNDER TEST. Read ONLY this file. Use CONTEXT only. No decrypt. No world knowledge.
Format: ANSWER_SEALED[<id>]: <seal_or_UNKNOWN>
Answer EVERY ID. If ambiguous, UNKNOWN.

ARM 2WIKI/SPAN_NL: sealed KG + entity-span NL (start/mid/answer strings replaced as whole atoms; relation words left in English). No PATH.

##### ID WIKI_SPANNL_0 #####
QUESTION:
Who is the mother of the director of film Ea4059e4c9886 (Film)?

CONTEXT:
Ea4059e4c9886 | Ea91e152cf878 | E6d4a2f937dbb
##### ID WIKI_SPANNL_8 #####
QUESTION:
When did Ef31af348f7a5 (Singer)'s husband die?

CONTEXT:
Ea4059e4c9886 | Ea91e152cf878 | E6d4a2f937dbb
E6d4a2f937dbb | E96a74afdd8db | Ea52bec18d1c8
E0478139a9661 | E403914246c23 | E5844b168223f
E5844b168223f | Ea929bd18467d | Ec63991795cfa
E607a168caf43 | Ea91e152cf878 | Eb4df7a55b0f2
Eb4df7a55b0f2 | E1b40fd93179e | Efb02dc5c7976
Ea914be36e96d | Ea91e152cf878 | E706bb134099a
E706bb134099a | Eed18d7b23d3e | Ecaa351cb0b48
E222b76fb5514 | E403914246c23 | Ee4f67de4f64d
Ee4f67de4f64d | Eed18d7b23d3e | E629e1dcde277
E2721fc0c42ec | Ea91e152cf878 | Eefa801bbad3b
Eefa801bbad3b | Eed18d7b23d3e | Eeacdf8354089
E81d32fb5da10 | E6c40df92f1e8 | E42b86b1a0fb0
E42b86b1a0fb0 | E9acc43e14c8b | E45fd4c7d6483
E4ed53259ea6e | Ea91e152cf878 | E8d87b546a7d2
E8d87b546a7d2 | E50520cf7f661 | E672db16d70af
Ef31af348f7a5 | E6c40df92f1e8 | Ea47b0eb6601c
Ea47b0eb6601c | Ea929bd18467d | E28729f099a26
Ec570f23bff49 | Ea91e152cf878 | E31f369ca7f00
E31f369ca7f00 | Ebaf94237abe6 | E506b5d075fbf
Eb5161f8ea765 | Ea91e152cf878 | E551b6fb7fc49
E551b6fb7fc49 | E6c40df92f1e8 | Eeec851268ee7
Eacd39724c871 | E6c40df92f1e8 | E482134227161
E482134227161 | E50520cf7f661 | E70dbb7ff2085

##### ID WIKI_SPANNL_9 #####
QUESTION:
What nationality is the director of film Ec570f23bff49?

CONTEXT:
Ea4059e4c9886 | Ea91e152cf878 | E6d4a2f937dbb
E6d4a2f937dbb | E96a74afdd8db | Ea52bec18d1c8
E0478139a9661 | E403914246c23 | E5844b168223f
E5844b168223f | Ea929bd18467d | Ec63991795cfa
E607a168caf43 | Ea91e152cf878 | Eb4df7a55b0f2
Eb4df7a55b0f2 | E1b40fd93179e | Efb02dc5c7976
Ea914be36e96d | Ea91e152cf878 | E706bb134099a
E706bb134099a | Eed18d7b23d3e | Ecaa351cb0b48
E222b76fb5514 | E403914246c23 | Ee4f67de4f64d
Ee4f67de4f64d | Eed18d7b23d3e | E629e1dcde277
E2721fc0c42ec | Ea91e152cf878 | Eefa801bbad3b
Eefa801bbad3b | Eed18d7b23d3e | Eeacdf8354089
E81d32fb5da10 | E6c40df92f1e8 | E42b86b1a0fb0
E42b86b1a0fb0 | E9acc43e14c8b | E45fd4c7d6483
E4ed53259ea6e | Ea91e152cf878 | E8d87b546a7d2
E8d87b546a7d2 | E50520cf7f661 | E672db16d70af
Ef31af348f7a5 | E6c40df92f1e8 | Ea47b0eb6601c
Ea47b0eb6601c | Ea929bd18467d | E28729f099a26
Ec570f23bff49 | Ea91e152cf878 | E31f369ca7f00
E31f369ca7f00 | Ebaf94237abe6 | E506b5d075fbf
Eb5161f8ea765 | Ea91e152cf878 | E551b6fb7fc49
E551b6fb7fc49 | E6c40df92f1e8 | Eeec851268ee7
Eacd39724c871 | E6c40df92f1e8 | E482134227161
E482134227161 | E50520cf7f661 | E70dbb7ff2085

##### ID WIKI_SPANNL_10 #####
QUESTION:
Who is the spouse of the director of film Eb5161f8ea765?

CONTEXT:
Ea4059e4c9886 | Ea91e152cf878 | E6d4a2f937dbb
E6d4a2f937dbb | E96a74afdd8db | Ea52bec18d1c8
E0478139a9661 | E403914246c23 | E5844b168223f
E5844b168223f | Ea929bd18467d | Ec63991795cfa
E607a168caf43 | Ea91e152cf878 | Eb4df7a55b0f2
Eb4df7a55b0f2 | E1b40fd93179e | Efb02dc5c7976
Ea914be36e96d | Ea91e152cf878 | E706bb134099a
E706bb134099a | Eed18d7b23d3e | Ecaa351cb0b48
E222b76fb5514 | E403914246c23 | Ee4f67de4f64d
Ee4f67de4f64d | Eed18d7b23d3e | E629e1dcde277
E2721fc0c42ec | Ea91e152cf878 | Eefa801bbad3b
Eefa801bbad3b | Eed18d7b23d3e | Eeacdf8354089
E81d32fb5da10 | E6c40df92f1e8 | E42b86b1a0fb0
E42b86b1a0fb0 | E9acc43e14c8b | E45fd4c7d6483
E4ed53259ea6e | Ea91e152cf878 | E8d87b546a7d2
E8d87b546a7d2 | E50520cf7f661 | E672db16d70af
Ef31af348f7a5 | E6c40df92f1e8 | Ea47b0eb6601c
Ea47b0eb6601c | Ea929bd18467d | E28729f099a26
Ec570f23bff49 | Ea91e152cf878 | E31f369ca7f00
E31f369ca7f00 | Ebaf94237abe6 | E506b5d075fbf
Eb5161f8ea765 | Ea91e152cf878 | E551b6fb7fc49
E551b6fb7fc49 | E6c40df92f1e8 | Eeec851268ee7
Eacd39724c871 | E6c40df92f1e8 | E482134227161
E482134227161 | E50520cf7f661 | E70dbb7ff2085

##### ID WIKI_SPANNL_11 #####
QUESTION:
Where was the place of death of Eacd39724c871's husband?

CONTEXT:
Ea4059e4c9886 | Ea91e152cf878 | E6d4a2f937dbb
E6d4a2f937dbb | E96a74afdd8db | Ea52bec18d1c8
E0478139a9661 | E403914246c23 | E5844b168223f
E5844b168223f | Ea929bd18467d | Ec63991795cfa
E607a168caf43 | Ea91e152cf878 | Eb4df7a55b0f2
Eb4df7a55b0f2 | E1b40fd93179e | Efb02dc5c7976
Ea914be36e96d | Ea91e152cf878 | E706bb134099a
E706bb134099a | Eed18d7b23d3e | Ecaa351cb0b48
E222b76fb5514 | E403914246c23 | Ee4f67de4f64d
Ee4f67de4f64d | Eed18d7b23d3e | E629e1dcde277
E2721fc0c42ec | Ea91e152cf878 | Eefa801bbad3b
Eefa801bbad3b | Eed18d7b23d3e | Eeacdf8354089
E81d32fb5da10 | E6c40df92f1e8 | E42b86b1a0fb0
E42b86b1a0fb0 | E9acc43e14c8b | E45fd4c7d6483
E4ed53259ea6e | Ea91e152cf878 | E8d87b546a7d2
E8d87b546a7d2 | E50520cf7f661 | E672db16d70af
Ef31af348f7a5 | E6c40df92f1e8 | Ea47b0eb6601c
Ea47b0eb6601c | Ea929bd18467d | E28729f099a26
Ec570f23bff49 | Ea91e152cf878 | E31f369ca7f00
E31f369ca7f00 | Ebaf94237abe6 | E506b5d075fbf
Eb5161f8ea765 | Ea91e152cf878 | E551b6fb7fc49
E551b6fb7fc49 | E6c40df92f1e8 | Eeec851268ee7
Eacd39724c871 | E6c40df92f1e8 | E482134227161
E482134227161 | E50520cf7f661 | E70dbb7ff2085
